,intolerance,Run,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B),Avg pct similar neighbors (B) (count empty),Avg pct similar neighbors (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct Happy,Pct Happy Group A,Pct Happy Group B,height,width,num_agents,minority_pc
0,0.125,0,53.2,60.9,53.2,41.8,36.9,46.7,350,210,140,100.0,100.0,100.0,20,20,350,0.4
1,0.125,1,51.3,59.5,52.4,38.8,33.9,45.0,350,210,140,100.0,100.0,100.0,20,20,350,0.4
2,0.125,2,50.8,59.0,51.7,38.4,33.6,44.4,350,210,140,100.0,100.0,100.0,20,20,350,0.4
3,0.125,3,52.9,60.3,52.3,41.9,37.3,46.3,350,210,140,100.0,100.0,100.0,20,20,350,0.4
4,0.125,4,53.1,61.3,53.7,40.8,35.7,46.5,350,210,140,100.0,100.0,100.0,20,20,350,0.4
5,0.125,5,54.6,62.0,54.2,43.5,38.4,47.9,350,210,140,100.0,100.0,100.0,20,20,350,0.4
6,0.125,6,53.2,61.5,54.2,40.6,35.3,46.6,350,210,140,100.0,100.0,100.0,20,20,350,0.4
7,0.125,7,51.3,59.5,52.1,38.9,33.9,44.9,350,210,140,100.0,100.0,100.0,20,20,350,0.4
8,0.125,8,53.4,60.7,52.4,42.8,38.1,46.7,350,210,140,100.0,100.0,100.0,20,20,350,0.4
9,0.125,9,52.8,60.6,52.7,41.2,36.2,46.1,350,210,140,100.0,100.0,100.0,20,20,350,0.4
10,0.25,10,60.5,66.6,57.9,51.6,46.4,53.3,350,210,140,100.0,100.0,100.0,20,20,350,0.4
11,0.25,11,56.9,62.1,51.5,50.0,47.5,49.9,350,210,140,100.0,100.0,100.0,20,20,350,0.4
12,0.25,12,56.4,62.7,53.2,47.8,43.9,49.5,350,210,140,100.0,100.0,100.0,20,20,350,0.4
13,0.25,13,57.5,63.2,53.6,49.8,46.2,50.6,350,210,140,100.0,100.0,100.0,20,20,350,0.4
14,0.25,14,59.3,65.0,55.7,51.3,47.7,52.5,350,210,140,100.0,100.0,100.0,20,20,350,0.4
15,0.25,15,52.7,59.2,50.6,43.8,40.8,46.7,350,210,140,100.0,100.0,100.0,20,20,350,0.4
16,0.25,16,62.2,67.1,56.8,55.6,52.2,55.0,350,210,140,100.0,100.0,100.0,20,20,350,0.4
17,0.25,17,58.8,63.6,53.3,52.5,50.5,52.2,350,210,140,100.0,100.0,100.0,20,20,350,0.4
18,0.25,18,56.6,62.8,53.5,48.1,44.2,49.8,350,210,140,100.0,100.0,100.0,20,20,350,0.4
19,0.25,19,54.8,60.7,51.1,46.7,43.5,48.0,350,210,140,100.0,100.0,100.0,20,20,350,0.4
20,0.375,20,78.5,81.3,68.0,74.8,69.6,68.6,350,210,140,100.0,100.0,100.0,20,20,350,0.4
21,0.375,21,76.5,79.1,66.0,73.1,70.9,67.9,350,210,140,99.7,100.0,99.3,20,20,350,0.4
22,0.375,22,71.3,74.6,62.5,66.9,64.8,63.4,350,210,140,99.7,100.0,99.3,20,20,350,0.4
23,0.375,23,77.2,80.2,67.7,73.3,69.7,68.5,350,210,140,100.0,100.0,100.0,20,20,350,0.4
24,0.375,24,74.5,77.3,64.3,70.9,69.0,66.2,350,210,140,100.0,100.0,100.0,20,20,350,0.4
25,0.375,25,76.5,79.5,66.4,72.4,68.0,67.1,350,210,140,100.0,100.0,100.0,20,20,350,0.4
26,0.375,26,78.5,81.7,71.3,73.9,68.0,70.0,350,210,140,100.0,100.0,100.0,20,20,350,0.4
27,0.375,27,73.5,76.8,64.2,69.1,65.3,64.6,350,210,140,100.0,100.0,100.0,20,20,350,0.4
28,0.375,28,78.2,80.9,68.0,74.6,70.9,69.1,350,210,140,100.0,100.0,100.0,20,20,350,0.4
29,0.375,29,75.0,78.3,66.3,70.7,67.0,66.6,350,210,140,100.0,100.0,100.0,20,20,350,0.4
30,0.5,30,90.4,91.9,82.1,88.2,83.1,82.5,350,210,140,100.0,100.0,100.0,20,20,350,0.4
31,0.5,31,88.9,90.4,80.2,86.8,83.5,81.5,350,210,140,98.6,100.0,96.4,20,20,350,0.4
32,0.5,32,88.8,90.4,80.0,86.6,82.8,81.1,350,210,140,100.0,100.0,100.0,20,20,350,0.4
33,0.5,33,91.0,92.5,81.5,88.9,82.9,82.1,350,210,140,100.0,100.0,100.0,20,20,350,0.4
34,0.5,34,87.6,89.7,82.1,84.5,78.1,80.5,350,210,140,99.1,100.0,97.9,20,20,350,0.4
35,0.5,35,90.9,92.3,83.0,88.8,83.1,83.0,350,210,140,100.0,100.0,100.0,20,20,350,0.4
36,0.5,36,89.4,91.3,82.6,86.8,81.5,82.2,350,210,140,100.0,100.0,100.0,20,20,350,0.4
37,0.5,37,91.7,92.9,82.9,90.1,85.7,84.0,350,210,140,100.0,100.0,100.0,20,20,350,0.4
38,0.5,38,88.8,90.4,80.5,86.3,80.2,80.4,350,210,140,100.0,100.0,100.0,20,20,350,0.4
